step,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,train_eq_acc,val_eq_acc,test_eq_acc
1000,1.1631858045102859,0.5454702091733002,1.1646196961172823,0.5431486076647367,1.1604497617316207,0.5477759472817133,0.020808162169418713,0.017185821697099892,0.023605150214592276
2000,1.16134388032149,0.5468141562424619,1.163747824812711,0.5445271574303833,1.1577766833234657,0.5444810543657331,0.020002684924150894,0.023630504833512353,0.022532188841201718
3000,1.1592191329867192,0.5475378200489335,1.1619361517742905,0.5428728977116074,1.153464143974057,0.5494233937397035,0.02174788562223117,0.01933404940923738,0.023605150214592276
4000,1.1564826903548107,0.5472276784175885,1.1613320770558162,0.5478356768679349,1.1530914432330814,0.5461285008237232,0.025372533225936366,0.02577873254564984,0.02145922746781116
5000,1.1542690640836035,0.5506047761811227,1.160558607481648,0.5467328370554178,1.1515414443793761,0.5543657331136738,0.023224593905222177,0.022556390977443608,0.02682403433476395
6000,1.1521062473347203,0.5530859092318826,1.160885718560988,0.5472842569616763,1.1544743034618363,0.5483250961010434,0.024969794603302457,0.024704618689581095,0.0203862660944206
7000,1.1407542703744813,0.5587373789586133,1.1546790683305654,0.5497656465398401,1.1504769490224722,0.5516199890170236,0.03664921465968586,0.027926960257787327,0.033261802575107295
8000,1.1154793175014712,0.5753127261449396,1.1532457728736947,0.5478356768679349,1.1504537466134035,0.5546403075233388,0.053295744395220834,0.0322234156820623,0.03755364806866953
9000,1.0450191081747155,0.610083049036838,1.1888350409714683,0.5544527157430383,1.1925862504518143,0.558209774848984,0.09034769767754061,0.03759398496240601,0.03540772532188841
10000,0.9327375533649055,0.6589475860643027,1.2913773386544816,0.555004135649297,1.3026874339037187,0.5507962657880285,0.1558598469593234,0.03759398496240601,0.028969957081545063
11000,0.8470151689536584,0.6956821392880527,1.3946305183724066,0.5533498759305211,1.38638805073084,0.5518945634266886,0.19948986441133038,0.02900107411385607,0.027896995708154508
12000,0.7961971622507661,0.7163237878631241,1.4477151681938414,0.5558312655086849,1.4630220885593639,0.5562877539813289,0.23842126459927507,0.0322234156820623,0.034334763948497854
13000,0.7638761184583538,0.7276267273165857,1.5183047959059763,0.5489385166804521,1.5248004299542983,0.556562328390994,0.25654450261780104,0.02685284640171858,0.034334763948497854
