budget_tokens,stop_exact,stop_flexible
1000,0.05016508794937369,0.13763672364198043
2000,0.06117716737590954,0.173976782146685
4000,0.10149606565726318,0.21921945201833698
8000,0.1394665365007438,0.28197490679692466
16000,0.19424814528133663,0.32485999603252735
32000,0.2385784242669756,0.3633788824747739
