step,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,train_eq_acc,val_eq_acc,test_eq_acc
1000,1.1607684408830878,0.5464695544298563,1.1651714399625421,0.5437000275709953,1.160278303553808,0.5480505216913784,0.020942408376963352,0.01933404940923738,0.023605150214592276
2000,1.156627520550669,0.5494331300182639,1.1655183575979633,0.5450785773366419,1.1567101015094086,0.542833607907743,0.02053966975432944,0.023630504833512353,0.02145922746781116
3000,1.1426816522477394,0.5557738033702058,1.1615897936698718,0.5475599669148056,1.1504720177773524,0.5521691378363537,0.0316821049805343,0.027926960257787327,0.027896995708154508
4000,1.1114230513995813,0.572107929287708,1.1658457715813042,0.5483870967741935,1.1632134962841287,0.5516199890170236,0.05155054369714056,0.0322234156820623,0.027896995708154508
5000,1.046974339612187,0.5996071539336297,1.2558767372890711,0.554177005789909,1.2501373249118894,0.5521691378363537,0.09612028460196,0.034371643394199784,0.03648068669527897
6000,0.9775226111497329,0.627588821117199,1.4407605343953551,0.5414943479459609,1.4176654972786566,0.5527182866556837,0.1569338166196805,0.021482277121374866,0.032188841201716736
7000,0.9380789374601891,0.644646610841173,1.5681326471480712,0.5448028673835126,1.5244030562290316,0.5485996705107083,0.18338031950597394,0.027926960257787327,0.03111587982832618
8000,0.9116267912795113,0.6565698335573246,1.6460140660540736,0.5464571271022884,1.6021070736964151,0.5549148819330039,0.18915290643039334,0.02577873254564984,0.03540772532188841
9000,0.8769948173183006,0.6719390743995314,1.7125595088566437,0.5461814171491591,1.643127143939467,0.5450302031850631,0.20821586790173177,0.022556390977443608,0.02682403433476395
10000,0.8381377486054732,0.6885144215858575,1.8219627925177595,0.5519713261648745,1.7691509114851471,0.5469522240527183,0.22231171969391864,0.03329752953813104,0.028969957081545063
11000,0.7819049169647607,0.7118784244805128,1.9856436292691964,0.5467328370554178,1.8932465621889587,0.5502471169686985,0.25332259363672976,0.023630504833512353,0.032188841201716736
12000,0.7417281357301062,0.7305903029049933,2.1146570904576354,0.5475599669148056,2.0227208229161304,0.5524437122460186,0.28889783863605856,0.023630504833512353,0.034334763948497854
13000,0.6914467387148627,0.7510941107550225,2.264003437085358,0.5420457678522195,2.1673312996325422,0.5532674354750138,0.30567861457913814,0.021482277121374866,0.033261802575107295
14000,0.6548260280251967,0.7652227850718495,2.431978699521385,0.5439757375241246,2.3103364444839505,0.5480505216913784,0.3310511478050745,0.02577873254564984,0.03540772532188841
15000,0.603441330224749,0.7841758847651539,2.5324285658128276,0.5453542872897712,2.463048357809068,0.5461285008237232,0.37105651765337627,0.02685284640171858,0.03111587982832618
16000,0.5610741207422915,0.8017505772080361,2.651643318153131,0.5467328370554178,2.534204322777234,0.5499725425590335,0.4019331453886428,0.03007518796992481,0.027896995708154508
17000,0.537300674331735,0.8075398876598091,2.8084873717975642,0.5494899365867107,2.7757406637997235,0.5442064799560681,0.4200563834071687,0.02685284640171858,0.028969957081545063
18000,0.5060001918698471,0.8191874289258761,2.8885043438453137,0.5467328370554178,2.847712374859495,0.5480505216913784,0.441401530406766,0.03007518796992481,0.02682403433476395
19000,0.4713964660448926,0.8337640855990902,2.9488785551506065,0.550592776399228,2.9036850319139123,0.5527182866556837,0.47214391193448785,0.03007518796992481,0.032188841201716736
20000,0.44292852716634235,0.843585237258348,3.0530418562172597,0.5456299972429005,3.0672056060908326,0.5464030752333883,0.5015438313867633,0.023630504833512353,0.03111587982832618
21000,0.4279141840991772,0.8509597160481064,3.126598643178548,0.5472842569616763,3.113535487736928,0.5494233937397035,0.5148342059336823,0.024704618689581095,0.032188841201716736
22000,0.3969985037521383,0.862951859126779,3.2768819560221085,0.5467328370554178,3.277334482443326,0.543382756727073,0.5498724661028326,0.027926960257787327,0.030042918454935622
23000,0.39539832192041746,0.8637789034770322,3.2375515879170114,0.5511441963054866,3.277629887907142,0.542559033498078,0.5581957309706,0.03007518796992481,0.028969957081545063
24000,0.3786937916458358,0.8659498948964471,3.3946399252244452,0.5445271574303833,3.41769942106093,0.5406370126304229,0.5555108068197073,0.02900107411385607,0.028969957081545063
25000,0.3485736106174006,0.8788035425066336,3.414725253954715,0.5494899365867107,3.458155774991634,0.5442064799560681,0.5930997449322056,0.024704618689581095,0.02682403433476395
26000,0.3519295192552741,0.8748750818429305,3.5176550962723154,0.5525227460711332,3.5407910417685593,0.5414607358594179,0.5804806014230098,0.03007518796992481,0.02467811158798283
27000,0.33476101431545424,0.8825597022640339,3.54018068694858,0.5561069754618142,3.544001923361563,0.5464030752333883,0.6024969794603302,0.0322234156820623,0.03648068669527897
28000,0.32884388974945394,0.8854543574899204,3.5384043232613043,0.550592776399228,3.600215335785197,0.5389895661724328,0.6074640891394818,0.034371643394199784,0.028969957081545063
29000,0.3037753380397814,0.8945518453427065,3.6351497156875734,0.5494899365867107,3.7084328967224827,0.5466776496430533,0.6403544099879178,0.02685284640171858,0.032188841201716736
30000,0.31441338952319964,0.8909679864916089,3.6557794049780723,0.5519713261648745,3.698014688256152,0.5475013728720484,0.6253188347429185,0.027926960257787327,0.023605150214592276
31000,0.2894215769317363,0.9006168372445639,3.7709310535297336,0.5552798456024263,3.8027376932210153,0.5442064799560681,0.6595516176668009,0.031149301825993556,0.022532188841201718
32000,0.27198240706789084,0.9059926255212103,3.872687437332528,0.5514199062586159,3.856684190895713,0.541735310269083,0.6748556853268896,0.02900107411385607,0.02467811158798283
33000,0.28529651824174007,0.9015128019573383,3.8299997065196787,0.5492142266335814,3.885031602200671,0.5469522240527183,0.6622365418176936,0.02685284640171858,0.02682403433476395
34000,0.27554345989486917,0.9049932802646542,3.831042983625952,0.5516956162117452,3.860881773997374,0.5458539264140582,0.6702913142703718,0.03007518796992481,0.02682403433476395
35000,0.2573180581039628,0.910403528722561,3.875215827514884,0.5508684863523573,3.9383122602836695,0.543931905546403,0.6839844274399248,0.02577873254564984,0.027896995708154508
36000,0.26135514279483885,0.9098177056411316,3.869843000480877,0.5511441963054866,3.8769256072277423,0.5453047775947282,0.6855953819304604,0.027926960257787327,0.02575107296137339
37000,0.24989643147534066,0.9145387504738275,3.9685643871592395,0.5525227460711332,3.94702131678808,0.5442064799560681,0.7008994495905491,0.02900107411385607,0.02145922746781116
38000,0.24976550969542163,0.9156070160929046,3.920798512835591,0.5555555555555556,3.895759879986314,0.5507962657880285,0.7019734192509062,0.02900107411385607,0.02575107296137339
39000,0.24578501007501785,0.9149867328302147,3.913247494714662,0.5497656465398401,3.930241408287857,0.5483250961010434,0.6982145254396563,0.02685284640171858,0.023605150214592276
40000,0.22773276463486292,0.9228091939763603,4.076140389811871,0.5500413564929694,3.9941167941399813,0.5436573311367381,0.7277486910994765,0.02900107411385607,0.023605150214592276
41000,0.22439973057497417,0.9237051586891347,4.022145513466708,0.5483870967741935,4.054441465642804,0.5477759472817133,0.7269432138542086,0.02040816326530612,0.022532188841201718
42000,0.2133672868298845,0.9269788759088873,4.064458560444022,0.5503170664460987,4.130159146572325,0.543931905546403,0.7387568801181367,0.02685284640171858,0.02682403433476395
43000,0.2076756891998393,0.9302525931286398,4.120615397270041,0.5486628067273228,4.111037529280787,0.5496979681493684,0.7519130084575111,0.02577873254564984,0.02467811158798283
44000,0.20349467287484585,0.9323202040042731,4.0402075696786905,0.5500413564929694,4.110114510801714,0.5403624382207578,0.7532554705329575,0.02900107411385607,0.02145922746781116
45000,0.1977214119806457,0.9356628415865468,4.125399967905638,0.5527984560242625,4.1413792752093626,0.5442064799560681,0.7664115988723319,0.024704618689581095,0.023605150214592276
46000,0.18322307326783072,0.9392122402563837,4.171266162957506,0.5503170664460987,4.177442505620195,0.5442064799560681,0.780775943079608,0.02900107411385607,0.02145922746781116
47000,0.18926286929077413,0.9373513904683138,4.205235248036644,0.5527984560242625,4.190319415306665,0.5414607358594179,0.7731239092495636,0.03007518796992481,0.023605150214592276
